sku_id,item_name,score,text,aspect_input,aspect,sentiment,confidence,raw_result
7534113,comment,5,还可以刷脸解锁，帮朋友买的，她很满意,整体,['整体'],['Positive'],[0.9988232254981995],"{'text': '整体 还可以刷脸解锁，帮朋友买的，她很满意', 'aspect': ['整体'], 'sentiment': ['Positive'], 'confidence': [0.9988232254981995], 'probs': [array([1.872006e-04, 9.895292e-04, 9.988232e-01], dtype=float32)], 'ref_sentiment': ['-100'], 'ref_check': [''], 'perplexity': 'N.A.'}"
7534113,comment,5,第一次买vivo，真心不错，1498的机子，没想到照相很清晰，性价比很高，买值了，还送了小音响，用了，真不错，机子贴膜都贴好了，不用自己单贴膜，拿起来就用，系统也不错，很快，国产的品牌真挺不错的。,系统,['系统'],['Positive'],[0.9963397979736328],"{'text': '系统 第一次买vivo，真心不错，1498的机子，没想到照相很清晰，性价比很高，买值了，还送了小音响，用了，真不错，机子贴膜都贴好了，不用自己单贴膜，拿起来就用，系统也不错，很快，国产的品牌真挺不错的。', 'aspect': ['系统'], 'sentiment': ['Positive'], 'confidence': [0.9963397979736328], 'probs': [array([6.6061446e-04, 2.9996205e-03, 9.9633980e-01], dtype=float32)], 'ref_sentiment': ['-100'], 'ref_check': [''], 'perplexity': 'N.A.'}"
7534113,comment,5,第一次买vivo，真心不错，1498的机子，没想到照相很清晰，性价比很高，买值了，还送了小音响，用了，真不错，机子贴膜都贴好了，不用自己单贴膜，拿起来就用，系统也不错，很快，国产的品牌真挺不错的。,性价比,['性价比'],['Positive'],[0.9962431192398071],"{'text': '性价比 第一次买vivo，真心不错，1498的机子，没想到照相很清晰，性价比很高，买值了，还送了小音响，用了，真不错，机子贴膜都贴好了，不用自己单贴膜，拿起来就用，系统也不错，很快，国产的品牌真挺不错的。', 'aspect': ['性价比'], 'sentiment': ['Positive'], 'confidence': [0.9962431192398071], 'probs': [array([0.00113995, 0.00261687, 0.9962431 ], dtype=float32)], 'ref_sentiment': ['-100'], 'ref_check': [''], 'perplexity': 'N.A.'}"
7534113,comment,5,手机好用快递送的快。,快递,['快递'],['Positive'],[0.9977103471755981],"{'text': '快递 手机好用快递送的快。', 'aspect': ['快递'], 'sentiment': ['Positive'], 'confidence': [0.9977103471755981], 'probs': [array([0.00126882, 0.00102079, 0.99771035], dtype=float32)], 'ref_sentiment': ['-100'], 'ref_check': [''], 'perplexity': 'N.A.'}"
8240587,comment,5,手机收到。外观设计很好！美观大方。我喜欢！一直使用华为手机。从荣耀七，荣耀八，荣耀九。反正一出新机就想换。荣耀十就想换。一直考虑。看见这款机挺心动！现在手里的荣耀七，荣耀八。想不出处理办法！有不敢随便处理。怕高手把里面资料回复。留在手里也不是办法。给人也不敢。如果有好的方法！介绍个！,外观,['外观'],['Positive'],[0.9959660768508911],"{'text': '外观 手机收到。外观设计很好！美观大方。我喜欢！一直使用华为手机。从荣耀七，荣耀八，荣耀九。反正一出新机就想换。荣耀十就想换。一直考虑。看见这款机挺心动！现在手里的荣耀七，荣耀八。想不出处理办法！有不敢随便处理。怕高手把里面资料回复。留在手里也不是办法。给人也不敢。如果有好的方法！介绍个！', 'aspect': ['外观'], 'sentiment': ['Positive'], 'confidence': [0.9959660768508911], 'probs': [array([0.00129344, 0.00274044, 0.9959661 ], dtype=float32)], 'ref_sentiment': ['-100'], 'ref_check': [''], 'perplexity': 'N.A.'}"
5942439,comment,5,收到了，挺好的，声音大，电池大，好用发货速度快，非常满意，好好好。,电池,['电池'],['Positive'],[0.9795478582382202],"{'text': '电池 收到了，挺好的，声音大，电池大，好用发货速度快，非常满意，好好好。', 'aspect': ['电池'], 'sentiment': ['Positive'], 'confidence': [0.9795478582382202], 'probs': [array([0.01391681, 0.00653528, 0.97954786], dtype=float32)], 'ref_sentiment': ['-100'], 'ref_check': [''], 'perplexity': 'N.A.'}"
5942439,comment,5,收到了，挺好的，声音大，电池大，好用发货速度快，非常满意，好好好。,速度,['速度'],['Positive'],[0.9744869470596313],"{'text': '速度 收到了，挺好的，声音大，电池大，好用发货速度快，非常满意，好好好。', 'aspect': ['速度'], 'sentiment': ['Positive'], 'confidence': [0.9744869470596313], 'probs': [array([0.01240197, 0.01311108, 0.97448695], dtype=float32)], 'ref_sentiment': ['-100'], 'ref_check': [''], 'perplexity': 'N.A.'}"
5942439,comment,5,收到了，挺好的，声音大，电池大，好用发货速度快，非常满意，好好好。,声音,['声音'],['Positive'],[0.9944208264350891],"{'text': '声音 收到了，挺好的，声音大，电池大，好用发货速度快，非常满意，好好好。', 'aspect': ['声音'], 'sentiment': ['Positive'], 'confidence': [0.9944208264350891], 'probs': [array([0.00171066, 0.0038684 , 0.9944208 ], dtype=float32)], 'ref_sentiment': ['-100'], 'ref_check': [''], 'perplexity': 'N.A.'}"
5089275,comment,5,本来觉得双十一还会便宜的，想不到和11月初的价格差不多，想想还是感觉入手了，早买早享受。我的5s也该退休了，16G的内存完全不够用。值得表扬的是快递真的太快了，双十一买的，12号下午就到了。然后玩了一晚上，机子运行速度挺快，不过有些网上传的小问题，出现了两次开机闪屏的现象，后来就好了，不影响机子运行。打电话有轻微电流声，可以接受。整天感觉还行，等用段时间在看看。,运行,['运行'],['Positive'],[0.9603149890899658],"{'text': '运行 本来觉得双十一还会便宜的，想不到和11月初的价格差不多，想想还是感觉入手了，早买早享受。我的5s也该退休了，16G的内存完全不够用。值得表扬的是快递真的太快了，双十一买的，12号下午就到了。然后玩了一晚上，机子运行速度挺快，不过有些网上传的小问题，出现了两次开机闪屏的现象，后来就好了，不影响机子运行。打电话有轻微电流声，可以接受。整天感觉还行，等用段时间在看看。', 'aspect': ['运行'], 'sentiment': ['Positive'], 'confidence': [0.9603149890899658], 'probs': [array([0.00820378, 0.03148125, 0.960315  ], dtype=float32)], 'ref_sentiment': ['-100'], 'ref_check': [''], 'perplexity': 'N.A.'}"
5089275,comment,5,本来觉得双十一还会便宜的，想不到和11月初的价格差不多，想想还是感觉入手了，早买早享受。我的5s也该退休了，16G的内存完全不够用。值得表扬的是快递真的太快了，双十一买的，12号下午就到了。然后玩了一晚上，机子运行速度挺快，不过有些网上传的小问题，出现了两次开机闪屏的现象，后来就好了，不影响机子运行。打电话有轻微电流声，可以接受。整天感觉还行，等用段时间在看看。,速度,['速度'],['Positive'],[0.9605362415313721],"{'text': '速度 本来觉得双十一还会便宜的，想不到和11月初的价格差不多，想想还是感觉入手了，早买早享受。我的5s也该退休了，16G的内存完全不够用。值得表扬的是快递真的太快了，双十一买的，12号下午就到了。然后玩了一晚上，机子运行速度挺快，不过有些网上传的小问题，出现了两次开机闪屏的现象，后来就好了，不影响机子运行。打电话有轻微电流声，可以接受。整天感觉还行，等用段时间在看看。', 'aspect': ['速度'], 'sentiment': ['Positive'], 'confidence': [0.9605362415313721], 'probs': [array([0.01944962, 0.02001422, 0.96053624], dtype=float32)], 'ref_sentiment': ['-100'], 'ref_check': [''], 'perplexity': 'N.A.'}"
