cat,label,review,predict_before,predict_after
书籍,1,作者真有英国人严谨的风格，提出观点、进行论述论证，尽管本人对物理学了解不深，但是仍然能感受到真理的火花。整本书的结构颇有特点，从当时（本书写于八十年代）流行的计算机话题引入，再用数学、物理学、宇宙学做必要的铺垫——这些内容占据了大部分篇幅，最后回到关键问题：电脑能不能代替人脑。和现在流行的观点相反，作者认为人的某种“洞察”是不能被算法模拟的。也许作者想说，人的灵魂是无可取代的。,电脑能不能代替人脑（推断）,周国平的作品
书籍,1,作者长篇大论借用详细报告数据处理工作和计算结果支持其新观点。为什么荷兰曾经县有欧洲最高的生产率？为什么在文化上有着深刻纽带关系的中国和日本却在经济发展上有着极大的差异？为什么英国的北美殖民地造就了经济强大的美国，而西班牙的北美殖民却造就了范后的墨西哥？……很有价值，但不包括【中国近代史专业】。,国家为什么失败（推断）,黄金游戏
书籍,1,作者在战几时之前用了＂拥抱＂令人叫绝．日本如果没有战败，就有会有美军的占领，没胡官僚主义的延续，没有战后的民发反思，没有～，就不会让日本成为一个经济强国．当然，美国人也给日本人带来了耻辱．对日中关系也造成了深远的影响．文中揭露了＂东京审判＂中很多鲜为人知的东西．让人惊醒．唉！中国人民对日本的了解是不是太少了．,拥抱战败（推断）,何新的作品
书籍,1,作者用诗一样的语言把如水般清澈透明的思想娓娓道来，像一个经验丰富的智慧老人为我们解开一个又一个人生的难题，让我们超越自发的自己和世俗的观念，引导着我们走向光明、理性的彼岸。尤其让人惊叹的是，在那样早的年代，作者对一些心理问题居然有那样深的体会，对一些人生问题能够分析得那样的深刻透彻！确实是非常难能可贵的！较之前一本罗马皇帝的《沉思录》不知要高明多少倍，直如天壤之别！,沉思录（推断）,彼得·林奇的成功投资
书籍,1,作者提出了一种工作和生活的方式，作为咨询界的元老，不仅能提出理念，而且能够身体力行地实践，并且提出具体的步骤，展现的是一种自然的生活态度，一种劳役结合、张弛有度的生活方式。作者提出的观点引入了欧美人乐观的生活方式，并且结合现在日本的社会状况和生存环境，提出了一种切实可行的生活历程，其实这些观点同样也适用于现在正在步日本后尘的中国人，会玩才会幸福。,会玩才会幸福（推断）,星巴克职场启示录
书籍,1,作者结合希尔和卡耐基、汪中求等大师的一些观点，结合中国的实际情况，给渴望成功的青年指出一条实实在在的路。我也看过不少成功学著作，只有这本书的作者是企业家，感觉他说得比较实在，其实我们也不指望成功就一定要和比尔盖茨比，能实现自己的小小梦想就行。如果说希尔等人的著作是习武的总纲，还需要你研究推敲一下，那这本书就是本武林秘笈，你只要照着练就行了，至于成龙成虫，就看你练得如何。,成功法则（推断）,张曼娟妖物志
书籍,1,作者更多的是从圆圆母亲的角度来写这个文章。90%的例子都是以圆圆为中心的。我认为，例证不够充分，毕竟每个孩子都很不一样，而且很明显，虽然作者一再强调是教育的原因，但不可否认，圆圆的聪明和乖巧也是有目共睹的。换个男孩，肯定是没有这么轻松的。总的来说，作者列举的都是一些生活中的例子，确实很有代表性，教育方向及思路非常明确，应该学习！！一个好妈妈的教育笔记，可以推荐给家中迂腐的老人。,好妈妈胜过好老师（推断）,我的路1
书籍,1,作者的理念很好，主要是看一个公司的内部情况来决定股票的情况。操作比较难，作者也承认，所以他说还是让基金经理来做书中的事情吧。对我启发不是在于买股票，而且如何做企业，如何培养员工；我想刚毕业找工作的学生应该看看，你到底应该区一个什么样的企业工作；以后会当老板的，也应该看看，如何对待员工，如何对待企业等等。作为股票类的书，我觉得应该是三星；但它给了我其它方面的启发，所以加了一个星。,巴菲特致股东的信（推断）,找死的兔子
书籍,1,作者的观点独特，语言犀利，深刻的总结了男人与女人之间的是非恩怨，把男人与女人在生活中积累的宿怨一语道破---原来非本质问题，而是双方本能。此书不足之处乃后面章节雷同，越看越有寡味之感，但是还是要感谢作者带我们游览一次男人、女人的本能世界！呵呵，建议读者可以看一看，有则改之，无则加勉！！,男人来自火星，女人来自金星（推断）,狼图腾
书籍,1,作为一名“白骨精”，我不得不佩服作者入木三分的刻画，不仅精准地描绘出我们的生活画面，更深刻地揭露了我们内心的挣扎与困顿。确实，是一部当代白骨精们的写照！写出了职场的竞争，写出了雇佣与被雇佣的现实。笔锋平实，清澈，是好作品。看着看着，便感觉自己也渐渐地深入到这个故事中，和你一起在职场中打拼，在感情中沉浮。泪，也一次又一次地润了眼眶……,白骨精（推断）,色遍
书籍,1,作为一本屹立不倒的经典教材，纽摄所传授的不是单纯的技术，而是理念。不是教条的灌输，而是互动性的思考。从书的内容上品评，虽说部分内容对于数码影像发达的今天有些过时，但是，摄影作为一门技术性行业的本质是不会变的，对于摄影的创作，人的理念才是造就一张好照片的决定所在，在当今这个各种所谓的“主题摄影”泛滥的时代，什么才是我们真正乐于接受的“好照片”呢？值得回到原点，去思索~,纽约摄影学院摄影教材（推断）,藏獒2
书籍,1,作为推理小说可能不是最好的，作为言情小说可能也不是最好的。但是结合在一起却很让人惊奇。羡慕那样的爱情和那样的生活，也许所有的杀人犯都有自己很心酸的一段生活一段历程。那是一种常人所无法理解的痛苦和无助，如果他们能得到一份爱也许真的会有更好的生活。元元和陆劲的爱情能有情人终成眷属真的是一件很欣慰的事情，无论生活在什么地方什么环境的人，都要找到自己能付出可以付出一切的那个人。,笼中的恋人》（推断）,曾有一个人，爱我如生命
书籍,1,作为妈妈，我个人很喜欢这本书，但是仍在怀疑这本书是否适合给孩子看？这本书以孩子的视角观看我们的生活、并以幽默的口吻讲述，实在有趣又发人深省。对于经常加班感到疲惫的我，最近拿这本书作为精神放松和愉悦心灵的良品，睡前看一段，总忍不住呵呵地轻笑；而同时不必刻意，就反省到了：自己如同尼古拉的父母一般，同样存在着很多可笑的自我矛盾呢。这本书好像给大人的教育意义更大些呢，呵呵~~,小淘气尼古拉（推断）,皖雅
书籍,1,昨天我把这套书看完了，结尾我不是很喜欢有点太戏剧了，但对书中的主人公却是最好的安排，我去过新疆，但是因为时间太短加之新疆的地域有点过于广阔所以好多的地方都没去成，看完这本书之后我又有了去新疆的念头，也因为深深的喜欢上了这个帅哥和尚，也找了几本佛经看看，就是有点看不懂，慢慢来吧，小春继续你的写作，我支持你,不负如来不负卿（推断）,简爱
书籍,1,昨天晚上看完了，此书揭开了猎头的神秘面纱，将猎头与HR的运作展现在人们面前。以小说的形式，将猎头的工作展现开来，期间穿插有关猎头的叙述，受益匪浅。主人公是一个极富正义感的、信守承诺的、优秀的、有才华的人物，他看穿了世事的虚浮，寻找着一片宁静的内心世界。故事结尾又未免过于伤感，失去至亲至爱的人，表现出来他最最脆弱的一面，仿佛感受到他撕心裂肺的伤痛。期待续的出版。,猎头局中局（推断）,中医体质养生
书籍,1,昨天带宝宝在朋友的小区玩。有工人正在植树，宝宝目不转睛地观察着。妈妈告诉宝宝，他们正在种树呢。宝宝没有吭声。过了一会儿，爸爸过来了，爸爸问，他们在干什么。宝宝说，他们正在挖宝藏。哈哈，宝宝准是想起了弗洛格带着小熊一起挖宝藏的故事。感谢可爱的小青蛙弗洛格，给了宝宝丰富的想象力，一个多彩美丽的世界。,弗洛格挖宝藏（推断）,母乳妈妈的育儿手记
书籍,1,最真实与实用的白领成长故事，也是目前为止我所读过的最深刻的白领生活工作的总结。看了不但受益匪浅，而且觉得过瘾、振奋，为中国有这样优秀的打工人而自豪。看了确实有：“...让我回忆最多的，却不是人生旅途里这些成功的瞬间，而是那些刻骨铭心的失败或挫折...”它展示地是一个真实与真诚的人，一个真心与你分享如何才能成功，而不是一个天才的故事、打工的神仙。强烈推荐！,杜拉拉升职记（推断）,英语典故词典
书籍,1,最喜歡這部，雖然很是賺走了我的眼淚，發現自己越來越愛看這些悲情的，讓人揪心疼痛的文字，匪大的確是後媽來的，東子對佳期的愛是絕對獨一無二的，可是真愛的未必能在一起，記得那句“那時候年輕，什麼都沒有，可是有勇氣！”現在的自己已經是連勇氣都沒有了，只能看著這樣的小說慰籍自己，愛就是那麼不圓滿，要看得開放得下！難啊，難！,佳期如梦（推断）,步步为营
书籍,1,最开始是在机场等飞机时发现这本书的，觉得特别好，就一直站着在那里读，因为机场不打折，所以回家后就第一时间在当当上买了这本书。读过她的好多书，喜欢她也喜欢她的书，知性的美丽，成功的自信，但只有真正读过她的书才知道，所以成功后面也有付出，所有付出都会有回报。女人的美会有很多种，但作者的美丽不但因为青春流逝而减少。忙碌的工作和生活之外，看看这本书，会让你思考很多。,女人的美有很多种（推断）,周老师的作品
书籍,1,最近因为忙着准备考试，所以没有看太多。不过禁不住巨大的诱惑，看了一些了。我看完了 “贝拉篇”，“雅各布篇”看到了第二章。这样子的写法挺有意思的，虽然已经习惯了是以贝拉的角度来看，但是这样子仔细看看狼人的想法也蛮不错的。真的是很好看，但是现在看着就觉得有的时候真的是挺离谱的，呵呵~不过我还是没搞清楚到底这个结局是不是在这本书里出现~加油啦~好看好看好看！,暮光之城（推断）,草房子
书籍,1,最近一直在看这本书，我觉得很好。当初只是想看看南怀瑾，但又没耐心去一本本地买，毕竟南怀瑾先生的书都是讲课的内容，比较罗嗦。于是就挑了这本集南怀瑾先生佛、道、儒各种见解的书，开始的时候确实冲着南怀瑾去的，但现在不是了。作者的见解很简洁很明了，让我很容易接受，并且我们看法一致。也许这不是一本让人可以看了又看的书，却是一本让人一见如故的书，这就够了。,南怀瑾（推断）,男人来自火星，女人来自金星
书籍,1,最近一直在看，昨天一口气看了3章建议怀孕末期的准爸准妈们都买本来看看通过这本书 了解了孩子的一些行为其实孩子的一些行为不一定就是老人嘴里说的那样孩子每个动作都是主动得表达自己得情感和感觉！作为父母只有了解了孩子的真实感受才能更好的跟孩子沟通！虽然我还没看完 但我觉得孙老师说的真的非常有道理里面的许多个案在我儿子的身上都有所体现！,捕捉儿童敏感期（推断）,彭老的作品
书籍,1,最近杜拉拉被炒得很火，很多人说她是职场新人的指南，不过我觉得带着一种平静而恬淡的心情来看待这本书也许更合适一点。可能是工作性质的原因，我并没有受益匪浅的感觉。平心而论，说它是一本新型的职场小说，应该来的更为贴切。对于小说的高潮部分，似乎是点到为止，总觉得有点意犹未尽。不过在看的过程中，整个心情还是很不错的。,杜拉拉升职记（推断）,步步为营
书籍,1,最初看到这本书，随手拿起来翻了翻……就被其中一个个很精彩的小故事所吸引……然然每个故事后面，还会附上相关的道理在其中！读起来，感觉是一次心灵的洗涮，让我们学会以更好的心态看待生活中发生地种种人情世故……身处在繁忙都市中的人们，很多时候大多忽略了这些最平凡最简单的幸福和快乐……而这本书就是很好的把大家遗忘的幸福快乐罗列出来，释放心灵的枷锁，获取真正的快乐和幸福吧！,心灵鸡汤（推断）,安意如的作品
书籍,1,最初读是在小学的时候，看了一遍心中不禁澎湃万分，却只是儿时对英雄的向往；初中时又重读了一遍，初步认识了什么是人间的善与恶、赏与罚；高中忙于考大学虽无暇顾及，但在紧张之余却可拿来玩味；现如今上了大学，时间重新多了起来，买来一本仿佛回到了少年，却又能用更加成熟的心态去审视、品研——MY LOVE!!!不管是印刷还是排版都很好，我看你这字体很不错，紧凑但不拥挤，看着不费力的。,水浒传（推断）,斯凯瑞最受欢迎的故事
书籍,1,总之，这是一本能让人引发起认同感的、也很有趣、很个性、很像那么一回事的血型书。或许每个人的身上都已不再只是某一种血型的特质，而是在相互的交融、激荡中发生着嬗变。于是，A型的人可能拥有了B型的某种特质，B型的人慢慢也习得了A型的一些模式。毕竟血型也是在不断的进化中，AB型不就是晚于O、A、B新近出现的血型类型吗？到新血型再进化出来的时候，我们一定还会有更新型的血型说明书。,血型书（推断）,蜗居
书籍,1,总之，前两位作者写得比较好，即1917--1960年那段史实，之后则所限于国内档案不公开的原因，还是看国外中文互联网的吧,剑桥中国史（推断）,明晓溪的作品
书籍,1,"总有一天,我们会对流逝的时间和消失的往事习以为常.无论和谁,以怎样的方式结束....溺水者怎知道，是哪一滴水要了他的命。。那一天我二十一岁，在我一生的黄金时代。我有好多奢望。我想爱，想吃，还想在一瞬间变成天上半明半暗的云千万人之中，遇到你所遇到的人，于千万年之中，时间的无涯荒野里，没有早一步，也没有晚一不，刚巧赶上了",黄金时代（推断）,王铭铭的作品
